Context Feature,Default,Bounds
FPS,50.0,"(1, 500, <class 'float'>)"
SCALE,30.0,"(1, 100, <class 'float'>)"
GRAVITY_X,0.0,"(-20, 20, <class 'float'>)"
GRAVITY_Y,-10.0,"(-20, -0.01, <class 'float'>)"
FRICTION,2.5,"(0, 10, <class 'float'>)"
TERRAIN_STEP,0.4666666666666667,"(0.25, 1, <class 'float'>)"
TERRAIN_LENGTH,200.0,"(100, 500, <class 'int'>)"
TERRAIN_HEIGHT,5.0,"(3, 10, <class 'float'>)"
TERRAIN_GRASS,10.0,"(5, 15, <class 'int'>)"
TERRAIN_STARTPAD,20.0,"(10, 30, <class 'int'>)"
MOTORS_TORQUE,80.0,"(0, 200, <class 'float'>)"
SPEED_HIP,4.0,"(1e-06, 15, <class 'float'>)"
SPEED_KNEE,6.0,"(1e-06, 15, <class 'float'>)"
LIDAR_RANGE,5.333333333333333,"(0.5, 20, <class 'float'>)"
LEG_DOWN,-0.26666666666666666,"(-2, -0.25, <class 'float'>)"
LEG_W,0.26666666666666666,"(0.25, 0.5, <class 'float'>)"
LEG_H,1.1333333333333333,"(0.25, 2, <class 'float'>)"
INITIAL_RANDOM,5.0,"(0, 50, <class 'float'>)"
VIEWPORT_W,600.0,"(400, 1000, <class 'int'>)"
VIEWPORT_H,400.0,"(200, 800, <class 'int'>)"
