Context Feature,Default,Bounds
FPS,50.0,"(1, 500, <class 'float'>)"
SCALE,30.0,"(1, 100, <class 'float'>)"
MAIN_ENGINE_POWER,13.0,"(0, 50, <class 'float'>)"
SIDE_ENGINE_POWER,0.6,"(0, 50, <class 'float'>)"
INITIAL_RANDOM,1000.0,"(0, 2000, <class 'float'>)"
GRAVITY_X,0.0,"(-20, 20, <class 'float'>)"
GRAVITY_Y,-10.0,"(-20, -0.01, <class 'float'>)"
LEG_AWAY,20.0,"(0, 50, <class 'float'>)"
LEG_DOWN,18.0,"(0, 50, <class 'float'>)"
LEG_W,2.0,"(1, 10, <class 'float'>)"
LEG_H,8.0,"(1, 20, <class 'float'>)"
LEG_SPRING_TORQUE,40.0,"(0, 100, <class 'float'>)"
SIDE_ENGINE_HEIGHT,14.0,"(1, 20, <class 'float'>)"
SIDE_ENGINE_AWAY,12.0,"(1, 20, <class 'float'>)"
VIEWPORT_W,600.0,"(400, 1000, <class 'int'>)"
VIEWPORT_H,400.0,"(200, 800, <class 'int'>)"
