Context Feature,Default,Bounds
min_position,-1.2,"(-inf, inf, <class 'float'>)"
max_position,0.6,"(-inf, inf, <class 'float'>)"
max_speed,0.07,"(0, inf, <class 'float'>)"
goal_position,0.45,"(-inf, inf, <class 'float'>)"
goal_velocity,0.0,"(-inf, inf, <class 'float'>)"
power,0.0015,"(-inf, inf, <class 'float'>)"
min_position_start,-0.6,"(-inf, inf, <class 'float'>)"
max_position_start,-0.4,"(-inf, inf, <class 'float'>)"
min_velocity_start,0.0,"(-inf, inf, <class 'float'>)"
max_velocity_start,0.0,"(-inf, inf, <class 'float'>)"
