Context Feature,Default,Bounds
gravity,-9.81,"(-inf, -0.1, <class 'float'>)"
friction_tangential,1,"(0, inf, <class 'float'>)"
friction_torsional,1,"(0, inf, <class 'float'>)"
friction_rolling,1,"(0, inf, <class 'float'>)"
timestep,0.0025,"(0.001, 0.1, <class 'float'>)"
joint_damping,1.0,"(0, inf, <class 'float'>)"
joint_stiffness,0.0,"(0, inf, <class 'float'>)"
actuator_strength,1,"(0, inf, <class 'float'>)"
density,5000.0,"(0, inf, <class 'float'>)"
viscosity,0.0,"(0, inf, <class 'float'>)"
geom_density,1.0,"(0, inf, <class 'float'>)"
wind_x,0.0,"(-inf, inf, <class 'float'>)"
wind_y,0.0,"(-inf, inf, <class 'float'>)"
wind_z,0.0,"(-inf, inf, <class 'float'>)"
